product_id,sku,original_filename,export_filename,size_bytes,width,height,status,format
P-0156,P-0156,P-0156.jpg,P-0156_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0157,P-0157,P-0157.jpg,P-0157_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0158,P-0158,P-0158.jpg,P-0158_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0159,P-0159,P-0159.jpg,P-0159_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0160,P-0160,P-0160.jpg,P-0160_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0161,P-0161,P-0161.jpg,P-0161_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0162,P-0162,P-0162.jpg,P-0162_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0163,P-0163,P-0163.jpg,P-0163_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0164,P-0164,P-0164.jpg,P-0164_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0165,P-0165,P-0165.jpg,P-0165_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0166,P-0166,P-0166.jpg,P-0166_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0167,P-0167,P-0167.jpg,P-0167_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0168,P-0168,P-0168.jpg,P-0168_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0169,P-0169,P-0169.jpg,P-0169_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0170,P-0170,P-0170.jpg,,6609,,,DUPLICATE,
P-0171,P-0171,P-0171.jpg,P-0171_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0172,P-0172,P-0172.jpg,P-0172_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0173,P-0173,P-0173.jpg,P-0173_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0174,P-0174,P-0174.jpg,P-0174_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0175,P-0175,P-0175.jpg,P-0175_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0176,P-0176,P-0176.jpg,P-0176_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0177,P-0177,P-0177.jpg,P-0177_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0178,P-0178,P-0178.jpg,P-0178_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0179,P-0179,P-0179.jpg,P-0179_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0180,P-0180,P-0180.jpg,P-0180_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0181,P-0181,P-0181.jpg,P-0181_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0182,P-0182,P-0182.jpg,P-0182_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0183,P-0183,P-0183.jpg,P-0183_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0184,P-0184,P-0184.jpg,P-0184_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0185,P-0185,P-0185.jpg,P-0185_1.jpg,6619,,,READY_FOR_UPLOAD,
