PID,Product Code,Product Name,HSN Code,Part / Group,Barcode,Purchase Price,Retail Price,Discount,CGST,SGST,CESS,Qty. Available,Main Unit,Wholesale Price,MRP,Category,Sub Category / Brand,Last Sold Price,Good Product Qty,Damage Product Qty,Description,Minimum Stock,Sale Tax Type,Purchase Tax Type,Godown,Rack,Batch,Mfg Date,Exp Date,Size,Colour,Def Qty,IMEI-1,IMEI-2,Exact Purchase Price
1800,P-1800,Twins 1270,,,4357,270.00,488.00,20.00,0.00,0.00,0.00,3.000,NOS,299.00,810.00,Kids wear(Boys),F/s set,488.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,270.00
1630,P-1630,Twins 1280,,,4185,280.00,500.00,20.00,0.00,0.00,0.00,7.000,NOS,200.00,840.00,Kids wear(Boys),F/s set,500.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,280.00
1673,P-1673,Twins 1300,,,4229,300.00,550.00,20.00,0.00,0.00,0.00,7.000,NOS,399.00,900.00,Kids wear(Boys),F/s set,550.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,300.00
3406,P-3406,Twins 1322,,,6087,322.00,550.00,20.00,0.00,0.00,0.00,7.000,NOS,369.00,966.00,Kids wear(Boys),H/s set,550.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,322.00
3405,P-3405,Twins 1344,,,6086,344.00,588.00,20.00,0.00,0.00,0.00,6.000,NOS,369.00,1032.00,Kids wear(Boys),H/s set,,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,344.00
145,P-0145,Two kids 1430,gbb,,1286,430.00,738.00,20.00,0.00,0.00,0.00,1.000,NOS,400.00,1290.00,Kids wear(Boys),H/s set,590.00,,,,0.000,Inclusive,Exclusive,Boy's counter,,,,,,,1,,,430.00
2372,P-2372,Ultimate 1135,,,4959,135.00,250.00,20.00,0.00,0.00,0.00,7.000,NOS,199.00,405.00,Mens wear,Tshirt,250.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,135.00
2371,P-2371,Ultimate 1145,,,4958,145.00,250.00,20.00,0.00,0.00,0.00,5.000,NOS,199.00,435.00,Mens wear,Tshirt,250.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,145.00
1169,P-1169,Urban outfiter 1160,,,3619,150.00,275.00,20.00,0.00,0.00,0.00,9.000,NOS,199.00,480.00,Kids wear(Boys),Tshirt boys,275.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,150.00
2967,P-2967,V Mark shirts  1360,,,5583,360.00,625.00,20.00,0.00,0.00,0.00,1.000,NOS,399.00,1080.00,Mens wear,Shirt,625.00,,,,0.000,Inclusive,Exclusive,,,,,,,,1,,,360.00
